City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,Mar Del Plata,-38.0023,-57.5575,light rain,53.0,83,100,3.58,AR,2022-05-16 17:02:22
155,Taoudenni,22.6783,-3.9836,clear sky,107.3,5,0,7.53,ML,2022-05-16 17:02:23
156,Jerez,14.1,-89.75,broken clouds,87.3,29,84,2.95,GT,2022-05-16 17:02:24
157,Slave Lake,55.2834,-114.769,haze,57.2,44,75,5.66,CA,2022-05-16 17:02:25
158,Matagami,49.7502,-77.6328,overcast clouds,65.0,36,100,2.29,CA,2022-05-16 17:02:26
159,Luderitz,-26.6481,15.1594,clear sky,71.4,33,2,0.79,NA,2022-05-16 17:02:26
160,Lavrentiya,65.5833,-171.0,broken clouds,20.0,82,59,2.11,RU,2022-05-16 17:02:27
161,Nelson Bay,-32.7167,152.15,clear sky,61.0,88,0,6.06,AU,2022-05-16 17:02:28
162,Bandarbeyla,9.4942,50.8122,scattered clouds,81.9,83,46,13.33,SO,2022-05-16 17:02:29
163,Ostrovskoye,57.8057,42.2433,light rain,45.3,97,100,2.99,RU,2022-05-16 17:02:29
164,Nata,8.3333,-80.5167,overcast clouds,78.9,87,100,1.85,PA,2022-05-16 17:02:30
165,Cap Malheureux,-19.9842,57.6142,scattered clouds,75.5,71,41,1.79,MU,2022-05-16 17:01:41
166,Pilikwe,-22.799,27.1938,few clouds,60.5,64,18,2.03,BW,2022-05-16 17:02:31
167,Te Anau,-45.4167,167.7167,overcast clouds,54.3,93,97,1.84,NZ,2022-05-16 17:02:32
168,Tuktoyaktuk,69.4541,-133.0374,light snow,32.7,98,100,3.25,CA,2022-05-16 17:02:32
169,Luanda,-8.8368,13.2343,few clouds,80.6,78,20,5.14,AO,2022-05-16 16:57:40
170,Kieta,-6.2167,155.6333,few clouds,77.9,83,14,0.99,PG,2022-05-16 17:02:33
171,Upington,-28.4478,21.2561,clear sky,72.2,28,0,3.75,ZA,2022-05-16 17:02:19
172,Oistins,13.0667,-59.5333,broken clouds,81.7,77,76,9.02,BB,2022-05-16 17:02:34
173,Iquitos,-3.7481,-73.2472,light rain,80.4,90,100,0.32,PE,2022-05-16 17:02:35
174,Codrington,-38.2667,141.9667,overcast clouds,50.6,74,100,5.12,AU,2022-05-16 17:02:36
175,Provideniya,64.3833,-173.3,few clouds,30.8,77,12,2.9,RU,2022-05-16 17:02:37
176,Poronaysk,49.2167,143.1167,overcast clouds,40.8,86,99,4.23,RU,2022-05-16 17:02:38
177,Kidal,18.4411,1.4078,few clouds,103.2,12,23,6.51,ML,2022-05-16 17:02:38
178,Srednekolymsk,67.45,153.6833,overcast clouds,32.7,99,99,2.19,RU,2022-05-16 17:02:39
179,Vao,-22.6667,167.4833,few clouds,74.0,76,15,7.96,NC,2022-05-16 17:02:40
180,Longkou,37.6508,120.3286,clear sky,60.6,41,1,2.23,CN,2022-05-16 17:02:40
181,Mastic Beach,40.7668,-72.8521,overcast clouds,72.7,85,100,3.09,US,2022-05-16 17:02:41
182,Constitucion,-35.3333,-72.4167,clear sky,62.8,50,2,1.45,CL,2022-05-16 17:02:42
183,Puerto Quijarro,-17.7833,-57.7667,overcast clouds,68.6,52,100,2.36,BO,2022-05-16 17:02:42
184,Marawi,7.9986,124.2928,broken clouds,69.8,93,82,1.0,PH,2022-05-16 17:03:43
185,Saint-Pierre,-21.3393,55.4781,overcast clouds,73.1,78,100,5.66,RE,2022-05-16 17:03:44
186,Malakal,9.5334,31.6605,light rain,85.4,52,42,3.2,SS,2022-05-16 17:03:44
187,Port Said,31.2565,32.2841,overcast clouds,69.8,73,100,4.9,EG,2022-05-16 17:03:45
188,Okha,53.5739,142.9478,overcast clouds,33.2,99,100,3.49,RU,2022-05-16 17:03:46
189,Klaksvik,62.2266,-6.589,scattered clouds,52.7,87,30,10.06,FO,2022-05-16 17:03:46
190,Warangal,18.0,79.5833,few clouds,92.7,45,15,1.33,IN,2022-05-16 17:03:47
191,Cine,37.6117,28.0614,few clouds,76.4,54,19,1.65,TR,2022-05-16 17:03:49
192,Port Macquarie,-31.4333,152.9167,scattered clouds,59.9,100,40,0.0,AU,2022-05-16 17:03:49
193,Dingle,10.9995,122.6711,broken clouds,77.6,87,72,0.99,PH,2022-05-16 17:03:50
194,Shirokiy,49.758,129.523,overcast clouds,42.9,51,88,4.06,RU,2022-05-16 17:03:51
195,Vaasa,63.096,21.6158,clear sky,45.3,57,0,4.63,FI,2022-05-16 17:03:52
196,Port Lincoln,-34.7333,135.8667,overcast clouds,57.7,67,96,3.39,AU,2022-05-16 17:03:53
197,Sur,22.5667,59.5289,clear sky,87.4,39,0,4.2,OM,2022-05-16 17:03:53
198,Khrebtovaya,56.7032,104.2494,overcast clouds,53.6,75,100,3.2,RU,2022-05-16 17:03:54
199,Taman,45.2117,36.7161,few clouds,60.6,71,19,3.72,RU,2022-05-16 17:03:55
200,Kalabo,-14.97,22.6814,clear sky,65.2,45,1,2.01,ZM,2022-05-16 17:03:55
201,Linxia,35.6003,103.2064,broken clouds,51.3,47,56,1.43,CN,2022-05-16 17:03:56
202,Omsukchan,62.5333,155.8,overcast clouds,28.8,98,100,2.9,RU,2022-05-16 17:03:57
203,Lazaro Cardenas,17.9583,-102.2,overcast clouds,87.6,41,88,2.85,MX,2022-05-16 17:03:58
204,Chokurdakh,70.6333,147.9167,light snow,24.7,96,100,4.61,RU,2022-05-16 17:03:59
205,Calvinia,-31.4707,19.776,clear sky,68.1,18,0,3.21,ZA,2022-05-16 17:03:59
206,Vostok,46.4856,135.8833,scattered clouds,36.0,69,25,2.28,RU,2022-05-16 17:04:00
207,Oshkosh,44.0247,-88.5426,clear sky,71.7,41,10,6.92,US,2022-05-16 17:02:24
208,Tadine,-21.55,167.8833,broken clouds,74.9,76,59,6.15,NC,2022-05-16 17:04:02
209,Zaragoza,41.6561,-0.8773,clear sky,87.0,23,0,3.09,ES,2022-05-16 17:01:54
210,Axim,4.8699,-2.2405,broken clouds,83.2,73,78,2.87,GH,2022-05-16 17:04:04
211,Pangai,-19.8,-174.35,overcast clouds,75.7,68,99,7.78,TO,2022-05-16 17:04:05
212,Thompson,55.7435,-97.8558,scattered clouds,44.0,47,26,3.66,CA,2022-05-16 17:04:05
213,Kelvington,52.1667,-103.5343,overcast clouds,46.6,59,100,3.04,CA,2022-05-16 17:04:06
214,Vila Velha,-20.3297,-40.2925,clear sky,84.1,61,0,1.54,BR,2022-05-16 16:59:29
215,Turukhansk,65.8167,87.9833,overcast clouds,50.2,79,100,3.96,RU,2022-05-16 17:04:07
216,Carnarvon,-24.8667,113.6333,clear sky,70.9,56,0,4.54,AU,2022-05-16 17:04:08
217,Huangnihe,43.5583,128.0239,scattered clouds,42.8,72,38,1.3,CN,2022-05-16 17:04:09
218,Aklavik,68.2191,-135.0107,overcast clouds,31.8,91,100,5.93,CA,2022-05-16 17:04:10
219,Nyamati,14.15,75.5833,moderate rain,76.6,88,100,4.93,IN,2022-05-16 17:04:11
220,Khatanga,71.9667,102.5,overcast clouds,27.0,92,97,4.26,RU,2022-05-16 17:04:11
221,Shingu,33.7333,135.9833,overcast clouds,58.7,92,100,1.56,JP,2022-05-16 17:04:12
222,Redcliffe,-27.2307,153.0973,fog,71.5,94,40,0.51,AU,2022-05-16 17:04:13
223,New Albany,38.2856,-85.8241,few clouds,75.3,49,20,3.6,US,2022-05-16 17:04:13
224,Ekhabi,53.5102,142.9671,overcast clouds,33.3,99,100,3.99,RU,2022-05-16 17:04:14
225,Arraial Do Cabo,-22.9661,-42.0278,scattered clouds,76.9,73,40,4.63,BR,2022-05-16 17:04:15
226,San Carlos De Bariloche,-41.1456,-71.3082,clear sky,49.4,41,0,3.6,AR,2022-05-16 17:05:15
227,Fukuyama,34.4833,133.3667,light rain,61.9,63,100,1.14,JP,2022-05-16 17:05:16
228,Port Augusta,-32.5,137.7667,clear sky,53.5,78,0,2.04,AU,2022-05-16 17:05:17
229,Kaoma,-14.7833,24.8,few clouds,62.4,56,14,1.96,ZM,2022-05-16 17:05:18
230,Caernarfon,53.1413,-4.2702,broken clouds,62.6,46,75,6.17,GB,2022-05-16 17:05:18
231,Lyubytino,58.8122,33.3922,overcast clouds,47.7,84,100,4.11,RU,2022-05-16 17:05:19
232,Mogadishu,2.0371,45.3438,clear sky,80.6,83,5,7.89,SO,2022-05-16 17:05:20
233,Raudeberg,61.9875,5.1352,clear sky,61.5,70,3,7.28,NO,2022-05-16 17:05:20
234,Los Llanos De Aridane,28.6585,-17.9182,few clouds,70.1,74,20,2.57,ES,2022-05-16 17:05:21
235,Ekibastuz,51.6667,75.3667,scattered clouds,66.2,42,36,5.26,KZ,2022-05-16 17:05:22
236,Nemuro,43.3236,145.575,overcast clouds,43.9,86,98,6.12,JP,2022-05-16 17:05:22
237,Semey,50.4111,80.2275,overcast clouds,69.1,36,98,3.79,KZ,2022-05-16 17:05:23
238,Rawson,-43.3002,-65.1023,few clouds,53.2,58,18,3.92,AR,2022-05-16 17:05:08
239,Urumqi,43.801,87.6005,clear sky,65.4,45,0,2.0,CN,2022-05-16 17:05:24
240,Tucurui,-3.7661,-49.6725,overcast clouds,86.3,70,100,2.02,BR,2022-05-16 17:05:25
241,Pacifica,37.6138,-122.4869,overcast clouds,65.6,84,100,5.14,US,2022-05-16 17:00:41
242,Batagay,67.6333,134.6333,overcast clouds,24.5,95,96,1.22,RU,2022-05-16 17:05:26
243,Bay-Khaak,51.1667,94.5,overcast clouds,57.5,65,100,2.84,RU,2022-05-16 17:05:27
244,Road Town,18.4167,-64.6167,scattered clouds,86.0,66,40,6.17,VG,2022-05-16 17:05:28
245,San Andres,12.5847,-81.7006,moderate rain,75.2,100,100,7.72,CO,2022-05-16 17:05:28
246,Laguna,38.421,-121.4238,clear sky,69.1,59,0,4.12,US,2022-05-16 17:05:29
247,Sorland,67.667,12.6934,overcast clouds,37.3,61,94,7.17,NO,2022-05-16 17:05:30
248,San Policarpo,12.1791,125.5072,overcast clouds,81.1,85,96,4.14,PH,2022-05-16 17:05:30
249,Isiro,2.7739,27.616,moderate rain,67.3,98,89,2.14,CD,2022-05-16 17:05:31
250,Sao Jose De Ribamar,-2.5619,-44.0542,overcast clouds,91.8,67,90,4.59,BR,2022-05-16 17:05:32
251,Noyabrsk,63.1994,75.4507,light rain,54.1,70,63,4.32,RU,2022-05-16 17:05:32
252,Severo-Kurilsk,50.6789,156.125,overcast clouds,35.7,95,87,4.2,RU,2022-05-16 17:05:33
253,Ketchikan,55.3422,-131.6461,light rain,44.8,80,66,4.75,US,2022-05-16 17:05:34
254,Lubao,14.9167,120.55,overcast clouds,80.3,95,100,2.73,PH,2022-05-16 17:05:35
255,Sitka,57.0531,-135.33,light rain,41.6,86,100,1.09,US,2022-05-16 17:02:00
256,Victoria,22.2855,114.1577,overcast clouds,69.3,82,96,4.47,HK,2022-05-16 17:00:58
257,Saint George,37.1041,-113.5841,clear sky,87.6,9,0,0.89,US,2022-05-16 17:02:58
